Title,Year,Genres,Language,Director,Score,soup
Self/less,2015,Science Fiction Mystery Thriller,English,Tarsem Singh,6.29,lie immortality terminalillness laboratory cancer doctor body-swap death rich falsememory soultransference richman mindtransfer hostbody bodysnatching eternal sciencefictionmysterythriller tarsemsingh ryanreynolds benkingsley nataliemartinez matthewgoode
Beastly,2011,Drama Fantasy Romance,English,Daniel Barnz,6.29,basedonnovelorbook love beautifulwoman curse teenager popularity tutor teenageromance modernfairytale basedonyoungadultnovel dramafantasyromance danielbarnz alexpettyfer vanessahudgens marykateolsen lisagayhamilton
Zathura,2005,Family Fantasy Science Fiction Adventure Comedy,English,Jon Favreau,6.29,house space alien giantrobot astronaut familyfantasysciencefictionadventurecomedy jonfavreau joshhutcherson jonahbobo daxshepard kristenstewart
To End All Wars,2001,Drama War,English,David L. Cunningham,6.29,japan scotland traitor freighttrain railwaycar teacher jungle corporalpunishment bushido dramawar davidl.cunningham ciaránmcmenamin robertcarlyle kiefersutherland sakaekimura
High Society,2017,Comedy,German,Anika Decker,6.29,jazzsingerormusician rhodeisland comedydramamusicromance charleswalters bingcrosby gracekelly franksinatra celesteholm
Friendship!,2010,Comedy Drama,German,Markus Goller,6.29,usa germandemocraticrepublic friendship comedydrama markusgoller matthiasschweighöfer friedrichmücke alicjabachledacuruś kevinrankin
El Niño,2014,Action Drama Thriller,Spanish,Daniel Monzón,6.29,spain morocco gibraltar drugtraffic cocaine police smuggling hashish narcoticscop policehelicopter actiondramathriller danielmonzón luistosar jesúscastro eduardfernández sergilópez
Gigi,1958,Comedy Music Romance,English,Vincente Minnelli,6.29,paris france basedonnovelorbook courtesan champagne jewelry playboy love basedonplayormusical comingofage memory classdifferences park courtship icerink boisdeboulogne comedymusicromance vincenteminnelli lesliecaron mauricechevalier louisjourdan hermionegingold
Middle Men,2009,Drama Comedy Crime,English,George Gallo,6.29,corruption pornography texas nightclub stripper website deception murder wealth mafia money true mobster internet explosion drugs addict fired dramacomedycrime georgegallo lukewilson giovanniribisi gabrielmacht jamescaan
Less Than Zero,1987,Drama Crime Romance,English,Marek Kanievska,6.29,basedonnovelorbook drugaddiction self-destruction cocaine losangeles california hedonism beverlyhills decadence dramacrimeromance marekkanievska andrewmccarthy jamigertz robertdowneyjr. jamesspader
The Taking of Pelham 1 2 3,2009,Thriller Crime Action,English,Tony Scott,6.29,newyorkcity hostage motorcyclecrash remake newyorksubway subwaytrain stockmarket subwaytunnel aftercreditsstinger thrillercrimeaction tonyscott denzelwashington johntravolta johnturturro luisguzmán
Scream 4,2011,Horror Mystery,English,Wes Craven,6.29,sheriff mask book victim knife rescue houseparty serialkiller author maskedkiller hospital self-referential millennials fame-seeking horrormystery wescraven nevecampbell courteneycox davidarquette emmaroberts
Twister,1996,Action Adventure Drama,English,Jan de Bont,6.29,husbandwiferelationship tornado twister oklahoma metereologist invention climate barn naturaldisaster cow truck disaster auntniecerelationship stormchaser divorce actionadventuredrama jandebont helenhunt billpaxton caryelwes jamigertz
A Walk Among the Tombstones,2014,Crime Drama Mystery Thriller,English,Scott Frank,6.29,newyorkcity basedonnovelorbook murder mafia privateinvestigator drugs alcoholic kingpin wifemurder 1990s crimedramamysterythriller scottfrank liamneeson danstevens davidharbour boydholbrook
American Assassin,2017,Action Thriller,English,Michael Cuesta,6.29,"basedonnovelorbook terrorist revenge actionthriller michaelcuesta ""dylanobrien"" michaelkeaton taylorkitsch shivanegar"
Tomorrow Never Dies,1997,Adventure Action Thriller,English,Roger Spottiswoode,6.29,london england england spy china newsbroadcast intelligence television missile manipulationofthemedia secretintelligenceservice specialcar tvstation mediatycoon navy motorcycle secretservice hamburg germany adventureactionthriller rogerspottiswoode piercebrosnan jonathanpryce michelleyeoh terihatcher
Arthur and the Invisibles,2007,Adventure Fantasy Animation Family,English,Luc Besson,6.29,grandparentgrandchildrelationship wretch treasurehunt disappearance family fantasyworld adventurefantasyanimationfamily lucbesson freddiehighmore miafarrow roncrawford pennybalfour
Rush Hour 3,2007,Action Comedy Crime,English,Brett Ratner,6.29,ambassador actioncomedycrime brettratner christucker jackiechan hiroyukisanada maxvonsydow
Bridget Jones: The Edge of Reason,2004,Comedy Romance,English,Beeban Kidron,6.29,london england lovesickness thailand clumsyfellow todropbrick capture womandirector comedyromance beebankidron renéezellweger hughgrant colinfirth jimbroadbent
Crying Freeman,1995,Action Crime,English,Christophe Gans,6.29,fight yakuza artist hitman fallinginlove basedonmanga killer witnesstomurder sect anime actioncrime christophegans markdacascos byronmann masayakato tchékykaryo
Something Wicked This Way Comes,1983,Fantasy Mystery Thriller Family Horror,English,Jack Clayton,6.29,circus witch basedonnovelorbook lightning dream maze elephant clown carnival spider blackmagic decapitation storm tarantula gothic sideshow childmurder autumn lightningrod fantasymysterythrillerfamilyhorror jackclayton jasonrobards jonathanpryce dianeladd royaldano
"Enfer, L",1994,Crime Drama,French,Claude Chabrol,6.29,Not Available crimedrama claudechabrol emmanuellebéart françoiscluzet nathaliecardone andréwilms
The Hills Have Eyes,2006,Horror Thriller,English,Alexandre Aja,6.29,ambush rape gasstation newmexico van remake gore serialkiller slasher brutality killer desert familyholiday madness ghosttown cannibalism nucleartesting strandedinthedesert humanmonster horrorthriller alexandreaja aaronstanford kathleenquinlan vinessashaw emiliederavin
30 Days of Night,2007,Horror Thriller,English,David Slade,6.29,sunrise winter vampire marriagecrisis alaska basedongraphicnovel blizzard bloodlust polarnight horrorthriller davidslade joshhartnett melissageorge benfoster dannyhuston
Jeepers Creepers,2001,Horror Thriller,English,Victor Salva,6.29,monster massmurder song brother sister carchase aftercreditsstinger crosscountrytrip rural horrorthriller victorsalva ginaphilips justinlong jonathanbreck patriciabelcher
Shanghai Noon,2000,Adventure Action Comedy Western,English,Tom Dey,6.29,princess sioux travel rescue nativeamerican chinese cowboy duringcreditsstinger 19thcentury adventureactioncomedywestern tomdey jackiechan owenwilson lucyliu xanderberkeley
Major Dundee,1965,War Western,English,Sam Peckinpah,6.29,mexico prisonerofwar apache raid confederate warwestern sampeckinpah charltonheston richardharris jimhutton jamescoburn
Saint Seiya: Evil Goddess Eris,1987,Action Animation Fantasy,Japanese,Kouzou Morishita,6.29,mythology fighter basedonmanga suitofarmor anime actionanimationfantasy kouzoumorishita tōrufuruya hirotakasuzuoki hideyukihori ryouhorikawa
Mogambo,1953,Adventure Drama Romance,English,John Ford,6.29,gorilla humanvsnature safari kenya tension adventuredramaromance johnford clarkgable avagardner gracekelly donaldsinden
Electrick Children,2012,Drama,English,Rebecca Thomas,6.29,womandirector drama rebeccathomas juliagarner roryculkin liamaiken billsage
Last Action Hero,1993,Adventure Fantasy Action Comedy Family,English,John McTiernan,6.29,"magic filminfilm spoof magicalobject cartooncat ticket self-referential projectionist ""childspointofview"" adventurefantasyactioncomedyfamily johnmctiernan arnoldschwarzenegger f.murrayabraham artcarney charlesdance"
Flightplan,2005,Thriller Drama Mystery,English,Robert Schwentke,6.29,berlin germany lossoflovedone airplane baby-snatching thrillerdramamystery robertschwentke jodiefoster petersarsgaard seanbean katebeahan
Petes Dragon,2016,Adventure Family Fantasy,English,David Lowery,6.29,feralchild remake dragon orphan pacificnorthwest 1980s liveactionandanimation adventurefamilyfantasy davidlowery oakesfegley brycedallashoward wesbentley karlurban
Black Beauty,1994,Action Adventure Drama Family,English,Caroline Thompson,6.29,horse countrylife womandirector actionadventuredramafamily carolinethompson alancumming seanbean davidthewlis jimcarter
Saints and Soldiers,2003,Action Adventure Drama History War,English,Ryan Little,6.29,winter belgium worldwarii nazi bravery ardennen slaughter nazigermany soldier americansoldiers actionadventuredramahistorywar ryanlittle larrybagby alexanderpolinsky kirbyheyborne corbinallred
Solace,2015,Thriller Crime Mystery,English,Afonso Poyart,6.29,fbi autopsy investigation terminalillness murder cancer premonition serialkiller psychologist crimescene psychic intrigue darkpast visionofthefuture thrillercrimemystery afonsopoyart anthonyhopkins jeffreydeanmorgan abbiecornish colinfarrell
Savages,2012,Crime Drama Thriller,English,Oliver Stone,6.29,explosive widow violence americanabroad eyegouging deaagent filmedkilling shot southerncalifornia surrogatedaughter lagunabeachcalifornia enforcer gardner skullmask dea crimedramathriller oliverstone blakelively taylorkitsch aarontaylorjohnson beniciodeltoro
Safe,2012,Action Crime Thriller,English,Boaz Yakin,6.29,chemical medicine housewife pollution quarantine independentfilm allergy psychiatrist illness disorder retreat multiplechemicalsensitivity(mcs) environmentalillness drama toddhaynes juliannemoore peterfriedman xanderberkeley jameslegros
Premium Rush,2012,Crime Action Thriller,English,David Koepp,6.29,newyorkcity corruption raceagainsttime dirtycop bicyclecourier duringcreditsstinger cyclist bikemessenger crimeactionthriller davidkoepp josephgordonlevitt michaelshannon daniaramirez jamiechung
Enigma,2001,Mystery Drama Thriller Romance War,English,Michael Apted,6.29,lover(female) worldwarii radiotransmission leave friendship uboat cryptography secretformula mysterydramathrillerromancewar michaelapted dougrayscott katewinslet saffronburrows jeremynortham
Cannibal! The Musical,1996,Comedy History Horror Music Western Thriller,English,Trey Parker,6.29,musical comedyhistoryhorrormusicwesternthriller treyparker treyparker dianbachar ianhardin jonhegel
I peggiori,2017,Action Comedy,Italian,Vincenzo Alfieri,6.29,Not Available actioncomedy vincenzoalfieri linoguanciale vincenzoalfieri antonellaattili saratancredi
Lassie,2005,Adventure Drama Family,English,Charles Sturridge,6.29,"pet ritual trainride rescue littlegirl dog colliedog lassie adventuredramafamily charlessturridge ""peterotoole"" samanthamorton johnlynch peterdinklage"
Hes Worse than Me,1985,Comedy,Italian,Enrico Oldoini,6.29,Not Available comedy enricooldoini adrianocelentano renatopozzetto kellyvandervelden danielstephen
A Bad Moms Christmas,2017,Comedy,English,Jon Lucas,6.29,christmas comedy jonlucas milakunis kristenbell kathrynhahn susansarandon
Contraband,2012,Thriller Action Drama Crime,English,Baltasar Kormákur,6.29,headwound criminal securityguard contraband thrilleractiondramacrime baltasarkormákur markwahlberg katebeckinsale benfoster giovanniribisi
The Batman vs Dracula,2005,Fantasy Animation Horror Action Thriller Science Fiction Family Mystery,English,Michael Goguen,6.29,superpower fantasyanimationhorroractionthrillersciencefictionfamilymystery michaelgoguen rinoromano peterstormare tarastrong alastairduncan
Country Strong,2010,Drama Romance Music,English,Shana Feste,6.29,alcohol adultery countrymusic bar infidelity texas paparazzi musician musical van addiction biker love singer womandirector dramaromancemusic shanafeste gwynethpaltrow garretthedlund timmcgraw leightonmeester
Dune,1984,Action Science Fiction Adventure,English,David Lynch,6.29,prophecy witch monster telepathy atomicbomb spacemarine emperor mutation insurgence spacetravel guild duke water chosenone dystopia jihad spice war spaceopera messiah denunciation actionsciencefictionadventure davidlynch kylemaclachlan francescaannis patrickstewart lindahunt
Once Upon a Time in Mexico,2003,Action Drama Mystery,English,Robert Rodriguez,6.29,corruption cia actiondramamystery robertrodriguez antoniobanderas salmahayek johnnydepp evamendes
A Dangerous Method,2011,Drama Thriller,English,David Cronenberg,6.29,basedonnovelorbook psychoanalysis sigmundfreud biography basedonatruestory spanking cigarsmoking cheatinghusband patient carljung dramathriller davidcronenberg keiraknightley viggomortensen michaelfassbender sarahgadon
Vantage Point,2008,Drama Action Thriller Crime,English,Pete Travis,6.29,bomb terror spain u.s.president terrorist waronterror camera carjourney press television camcorder bodyguard safety terrorcell limousine media securityguard dramaactionthrillercrime petetravis dennisquaid matthewfox forestwhitaker sigourneyweaver
Bend It Like Beckham,2002,Comedy Drama Romance,English,Gurinder Chadha,6.29,"london england tradition cultureclash immigration sikh ""womensfootball(soccer)"" sports football(soccer) family lgbt womandirector britishasian comedydramaromance gurinderchadha parmindernagra keiraknightley jonathanrhysmeyers anupamkher"
Pokémon: Destiny Deoxys,2004,Adventure Animation Family Fantasy,Japanese,Kunihiko Yuyama,6.29,pokémon pocketmonsters anime adventureanimationfamilyfantasy kunihikoyuyama ricamatsumoto ikueotani kaori yujiueda
True Story,2015,Crime Drama Mystery,English,Rupert Goold,6.29,prison journalist prisoner basedonatruestory prisonvisit identitytheft accusedofmurder crimedramamystery rupertgoold jonahhill jamesfranco felicityjones mariadizzia
Two Weeks Notice,2002,Comedy Romance,English,Marc Lawrence,6.29,newyorkcity romanticcomedy lawyer billionaire environmentallaw comedyromance marclawrence sandrabullock hughgrant aliciawitt danaivey
13 Beloved,2006,Mystery Comedy Horror Thriller Crime Drama,Thai,Chookiat Sakveerakul,6.29,politics basedoncomic darkcomedy debt mysterycomedyhorrorthrillercrimedrama chookiatsakveerakul krissadasukosolclapp achitasikamana sarunyuwongkrachang nattapongarunnate
A Quiet Life,2010,Drama,Italian,Claudio Cupellini,6.29,"neo-noir drama claudiocupellini toniservillo ""marcodamore"" francescodileva julianeköhler"
Madonna: Truth or Dare,1991,Documentary Music,English,Alek Keshishian,6.29,eroticism dance popstar musical tour concert madonna documentarymusic alekkeshishian madonna alpacino kevincostner donnadelory
Tamasha,2015,Comedy Drama Romance,Hindi,Imtiaz Ali,6.29,storytelling nonlineartimeline comedydramaromance imtiazali deepikapadukone ranbirkapoor piyushmishra vivekmushran
The Lonely Guy,1984,Comedy Romance,English,Arthur Hiller,6.29,basedonnovelorbook romanticcomedy loneliness manhattan newyorkcity comedyromance arthurhiller stevemartin charlesgrodin mervgriffin judithivey
Seems Like Old Times,1980,Comedy Romance,English,Jay Sandrich,6.29,california bankrobber fugitive dog screwballcomedy comedyromance jaysandrich chevychase goldiehawn charlesgrodin robertguillaume
Pokémon: Jirachi Wish Maker,2003,Action Animation Adventure Family,Japanese,Kunihiko Yuyama,6.29,pokémon anime actionanimationadventurefamily kunihikoyuyama ricamatsumoto yujiueda kaori fushigiyamada
We Are Family,2016,Comedy,French,Gabriel Julien-Laferrière,6.29,paris france comedy gabrieljulienlaferrière juliegayet thierryneuvic juliedepardieu lucienjeanbaptiste
Kung Fu Panda Holiday Special,2010,Animation Family TV Movie,English,Tim Johnson,6.29,short animationfamilytvmovie timjohnson jackblack dustinhoffman angelinajolie sethrogen
Repo Men,2010,Action Science Fiction Thriller Crime,English,Miguel Sapochnik,6.29,antihero blackmarket mercenary hologram dystopia contract surrealism ontherun evilcorporation repoman cyberpunk massacre brutality swatteam aftercreditsstinger enforcer neo-noir artificialorgan actionsciencefictionthrillercrime miguelsapochnik judelaw forestwhitaker alicebraga lievschreiber
The Santa Clause,1994,Fantasy Drama Comedy Family,English,John Pasquin,6.29,holiday christmasparty santaclaus deal christmastree christmas fantasydramacomedyfamily johnpasquin timallen judgereinhold wendycrewson davidkrumholtz
Ella Enchanted,2004,Family Fantasy Comedy,English,"""Tommy OHaver""",6.29,"elves basedonnovelorbook magic fairy prince fairytale spell fantasyworld giant ogre obedience fairygodmother familyfantasycomedy ""tommyohaver"" annehathaway hughdancy caryelwes vivicaa.fox"
Cellular,2004,Thriller Action,English,David R. Ellis,6.29,bank telephone weapon police duringcreditsstinger thrilleraction davidr.ellis chrisevans kimbasinger jasonstatham jessicabiel
Crocodile Dundee,1986,Adventure Comedy,English,Peter Faiman,6.28,newyorkcity prostitute hotel journalist cultureclash subway crocodile wilderness knife tourist limousine poacher fishoutofwater city australianoutback kangaroo adventurecomedy peterfaiman paulhogan lindakozlowski markblum davidgulpilil
The Rundown,2003,Adventure Action Comedy Thriller,English,Peter Berg,6.28,hunter bounty bountyhunter fight amazon treasurehunt jungle adventureactioncomedythriller peterberg dwaynejohnson seannwilliamscott rosariodawson christopherwalken
Faster,2010,Crime Drama Action Thriller,English,"George Tillman, Jr.",6.28,"prisoner hitman police shooting cop revenge driver crimedramaactionthriller georgetillman,jr. dwaynejohnson billybobthornton maggiegrace carlagugino"
Judgment Night,1993,Action Thriller Crime,English,Stephen Hopkins,6.28,chicago usa drugdealer boxingmatch escape onenight actionthrillercrime stephenhopkins emilioestevez cubagoodingjr. denisleary jeremypiven
Octopussy,1983,Adventure Action Thriller,English,John Glen,6.28,circus atomicbomb easternblock octopus crocodile clown secretintelligenceservice kgb snakecharmer hotairballoon tiger eastberlin india knifethrowing britishsecretservice adventureactionthriller johnglen rogermoore maudadams louisjourdan kristinawayborn
Sister Act 2: Back in the Habit,1993,Music Comedy,English,Bill Duke,6.28,nun education musiccompetition singingnun singing mothersuperior catholicschool monastery domineeringmother teenagerebellion boardofeducation schoolchoir urbanyouth musiccomedy billduke whoopigoldberg kathynajimy laurynhill sherylleeralph
Tango & Cash,1989,Action Adventure Comedy,English,Andrei Konchalovsky,6.28,prisoner warondrugs losangeles california actionadventurecomedy andreikonchalovsky sylvesterstallone kurtrussell terihatcher jackpalance
Red Eye,2005,Horror Thriller,English,Wes Craven,6.28,hotel airport hostage menace hitman book villain airplane flight telephonecall terrorism fear threat hotelmanager horrorthriller wescraven rachelmcadams cillianmurphy briancox jaymamays
8MM,1999,Thriller Crime Mystery,English,Joel Schumacher,6.28,newyorkcity sex-shop pornography lossoflovedone obsession pornactor investigation sadomasochism childpornography privateinvestigator losangeles california violence subculture snufffilm thrillercrimemystery joelschumacher nicolascage joaquinphoenix jamesgandolfini catherinekeener
The Recruit,2003,Action Thriller,English,Roger Donaldson,6.28,spy cia extramaritalaffair actionthriller rogerdonaldson alpacino colinfarrell bridgetmoynahan gabrielmacht
The Last Dragon,1985,Action Adventure Comedy,English,Michael Schultz,6.28,martialarts pizzeria limousine music actionadventurecomedy michaelschultz taimak juliuscarry vanity christophermurney
The City of Violence,2006,Action Thriller,Korean,Ryoo Seung-wan,6.28,revenge organizedcrime gore policestation mob actionthriller ryooseungwan ahngilkang jeongseokyong leebeomsoo ryooseungwan
The German Doctor,2013,Drama Thriller,Spanish,Lucía Puenzo,6.28,nazi mengele doctor womandirector dramathriller lucíapuenzo àlexbrendemühl nataliaoreiro diegoperetti elenaroger
Angelique,2013,Adventure Romance,French,Ariel Zeitoun,6.28,Not Available adventureromance arielzeitoun noraarnezeder gérardlanvin tomersisley simonabkarian
Tyler Perrys Temptation: Confessions of a Marriage Counselor,2013,Drama,English,Tyler Perry,6.28,Not Available drama tylerperry kimkardashian vanessawilliams brandynorwood jurneesmollett
Nobody from Nowhere,2014,Thriller Drama,French,Matthieu Delaporte,6.28,Not Available thrillerdrama matthieudelaporte mathieukassovitz bernardmurat mariejoséecroze diegolemartret
Found,2012,Drama Horror Thriller,English,Scott Schirmer,6.28,beheading bullying murder serialkiller racism seriesofmurders violence videostore death gasmask skullmask masculinity whitesupremacist evilteen graphicnovel dramahorrorthriller scottschirmer gavinbrown ethanphilbeck phyllismunro louielawless
Olafs Frozen Adventure,2017,Adventure Animation Comedy Family Fantasy Music,English,Kevin Deters,6.28,snowman christmas short adventureanimationcomedyfamilyfantasymusic kevindeters joshgad kristenbell idinamenzel jonathangroff
Hostage,2005,Mystery Drama Thriller Crime,English,Florent-Emilio Siri,6.28,fbi kidnapping policeoperation homeinvasion hostagesituation hostagenegotiator mysterydramathrillercrime florentemiliosiri brucewillis kevinpollak jimmybennett michellehorn
Spectral,2016,Thriller Action Science Fiction,English,Nic Mathieu,6.28,supernatural military thrilleractionsciencefiction nicmathieu jamesbadgedale claynecrawford maxmartini emilymortimer
Along Came a Spider,2001,Crime Mystery Thriller Action,English,Lee Tamahori,6.28,basedonnovelorbook psychology policeoperation police sequel psychologist crimemysterythrilleraction leetamahori morganfreeman monicapotter michaelwincott dylanbaker
Cargo,2017,Drama Thriller Adventure Horror,English,Ben Howling,6.28,post-apocalypticfuture australia womandirector pandemic aboriginal fatherdaughterrelationship dramathrilleradventurehorror benhowling martinfreeman simonelanders anthonyhayes susieporter
Dragonslayer,1981,Fantasy Adventure,English,Matthew Robbins,6.28,"secretidentity selfsacrifice magic virgin solareclipse sacrifice ""sorcerersapprentice"" amulet lottery brood princess sorcerer humansacrifice dragon hiddenidentity crossdressing landslide swordandsorcery fantasyadventure matthewrobbins petermacnicol caitlinclarke ralphrichardson johnhallam"
Hide and Seek,2005,Horror Mystery Thriller,English,John Polson,6.28,lossoflovedone house imaginaryfriend horrormysterythriller johnpolson robertdeniro dakotafanning famkejanssen elisabethshue
Talladega Nights: The Ballad of Ricky Bobby,2006,Comedy,English,Adam McKay,6.28,carrace northcarolina prayer familydinner motorcycle advertising divorce nascar dogtrainer sportcompetition psychosomaticillness frenchstereotype aftercreditsstinger duringcreditsstinger comedy adammckay willferrell johnc.reilly sachabaroncohen garycole
Revenge,2017,Action Thriller,French,Coralie Fargeat,6.28,mexico revenge betrayal romancethriller tonyscott kevincostner anthonyquinn madeleinestowe tomásmilián
Tom and Jerry: The Magic Ring,2002,Fantasy Animation Comedy Family Action,English,James T. Walker,6.28,tomandjerry fantasyanimationcomedyfamilyaction jamest.walker jeffbennett frankwelker charlieschlatter jimcummings
War,2007,Action,English,Philip G. Atwell,6.28,fbi revenge action philipg.atwell jetli jasonstatham johnlone devonaoki
GI Jane,1997,Action Drama,English,Ridley Scott,6.28,poem middleeast helicopter satellite navy sexism war army sexualharassment u.s.navyseal feminist soldier commando mentalhealth drillinstructor military usmilitary armybase reconnaissance sexualdiscrimination actiondrama ridleyscott demimoore viggomortensen annebancroft jasonbeghe
Edge of Darkness,2010,Crime Drama Mystery Thriller,English,Martin Campbell,6.28,assassination senator cover-up murder conspiracytheory violence policeofficer deathofdaughter homicidedetective vigilantism activist crimedramamysterythriller martincampbell melgibson raywinstone dannyhuston shawnroberts
Wild Things,1998,Mystery Thriller Drama,English,John McNaughton,6.28,sailboat rape sexualabuse florida eroticism blackmail cheerleader courtcase sailing seduction everglades heart-throb menageatrois conspiracy duringcreditsstinger accusation mysterythrillerdrama johnmcnaughton mattdillon kevinbacon nevecampbell deniserichards
I Love You to Death,1990,Action Comedy Crime,English,Lawrence Kasdan,6.28,husbandwiferelationship infidelity gigolo pizza basedonatruestory tacoma actioncomedycrime lawrencekasdan kevinkline traceyullman joanplowright riverphoenix
Lultima ruota del carro,2013,Comedy Drama,Italian,Giovanni Veronesi,6.28,Not Available comedydrama giovanniveronesi eliogermano alessandramastronardi rickymemphis sergiorubini
Accepted,2006,Comedy,English,Steve Pink,6.28,straitjacket hotdogcostume electroshock croquet sprinklersystem comedy stevepink justinlong jonahhill blakelively adamherschman
Sweet Home Alabama,2002,Comedy Romance,English,Andy Tennant,6.28,newyorkcity marriageproposal alabama careerwoman fashiondesigner comedyromance andytennant reesewitherspoon joshlucas patrickdempsey candicebergen
Morning Glory,2010,Comedy Drama Romance,English,Roger Michell,6.28,newyorkcity workethic tvmorningshow tvreporter tvshowinfilm tvhost tvnewsanchor comedydramaromance rogermichell rachelmcadams harrisonford patrickwilson jeffgoldblum
Daphne & Velma,2018,Comedy Horror Action Crime,English,Suzi Yoonessi,6.28,amateurdetective highschool basedoncartoon spinoff comedyhorroractioncrime suziyoonessi sarahjeffery sarahgilman courtneydietz evancastelloe
Taking Lives,2004,Action Crime Mystery Thriller Drama,English,D.J. Caruso,6.28,underdog strangeness specialcapabilities undercoveragent investigation specialunit montreal canada serialkiller colleague actioncrimemysterythrillerdrama d.j.caruso angelinajolie ethanhawke kiefersutherland genarowlands
Metro,2013,Action Thriller,Russian,Anton Megerdichev,6.28,trainaccident subwayaccident train catastrophe actionthriller antonmegerdichev sergeypuskepalis anatoliybelyy svetlanakhodchenkova katerinashpitsa
Three Men and a Cradle,1985,Comedy,French,Coline Serreau,6.28,womandirector comedy colineserreau rolandgiraud michelboujenah andrédussollier philippineleroybeaulieu
Two Missionaries,1974,Action Adventure Comedy,Italian,Franco Rossi,6.28,venezuela missionary parrot fistfight karibik santacruz brawl fistfights actionadventurecomedy francorossi terencehill budspencer jeanpierreaumont robertloggia
You Again,2010,Comedy Romance,English,Andy Fickman,6.28,siblingrelationship marriage bully duringcreditsstinger comedyromance andyfickman kristenbell sigourneyweaver bettywhite kristinchenoweth
Be Kind Rewind,2008,Drama Comedy,English,Michel Gondry,6.28,camcorder nuclearpowerplant delusion videostore videotape dramacomedy michelgondry jackblack yasiinbey dannyglover miafarrow
Guest House Paradiso,1999,Comedy,English,Adrian Edmondson,6.28,hotel nuclearpowerplant slapstick politicallyincorrect uninvitedguest comedy adrianedmondson rikmayall adrianedmondson billnighy kateashfield
Badrinath Ki Dulhania,2017,Drama Comedy Romance,Hindi,Shashank Khaitan,6.28,romance bollywood dramacomedyromance shashankkhaitan varundhawan aliabhatt shwetaprasad gauharkhan
Assassins,1995,Action Adventure Crime Thriller,English,Richard Donner,6.28,competition assassination cia bank cat mexicanstandoff seattle hitman missionofmurder hiddencamera rivalry rescue shootout policechase sniperrifle detroit silencer doublecross caribbeansea actionadventurecrimethriller richarddonner sylvesterstallone antoniobanderas juliannemoore anatolidavydov
The Messenger: The Story of Joan of Arc,1999,Adventure Drama Action History War,English,Luc Besson,6.28,"france rape siege biography necrophilia politics orléans ""hundredyearswar"" burnedalive heroine burnedatthestake joanofarc dauphin 15thcentury heretic charlesvii 1420s religiousconviction anachronistic trebuchet adventuredramaactionhistorywar lucbesson millajovovich dustinhoffman fayedunaway johnmalkovich"
The Interpreter,2005,Crime Thriller,English,Sydney Pollack,6.28,newyorkcity dictator africa destructionofacivilization assassination resistance fbi revenge murder unitednations witnesstomurder resistancefighter crimethriller sydneypollack nicolekidman seanpenn catherinekeener jesperchristensen
The Raven,2012,Crime Thriller Mystery,English,James McTeigue,6.28,castle parody sorcerer duel horsecarriage raven wizard magician comedyfantasyhorror rogercorman vincentprice peterlorre boriskarloff hazelcourt
Lady and the Tramp II: Scamps Adventure,2001,Romance Animation Family,English,Darrell Rooney,6.28,initiation cartoondog dogcatcher dogpound firefly runawaychild romanceanimationfamily darrellrooney scottwolf alyssamilano chazzpalminteri jeffbennett
Arachnophobia,1990,Comedy Horror,English,Frank Marshall,6.28,smalltown spider animalattack outbreak exterminator spiderbite creaturefeature spiderqueen invasivespecies arachnophobia animalhorror spidergeneral comedyhorror frankmarshall jeffdaniels harleyjanekozak johngoodman juliansands
Battle in Seattle,2007,Action Drama,English,Stuart Townsend,6.28,seattle protest worldtradeorganisation basedonatruestory 1990s actiondrama stuarttownsend martinhenderson michellerodriguez woodyharrelson charlizetheron
Space Cowboys,2000,Action Adventure Thriller,English,Clint Eastwood,6.28,nasa spacetravel spacewestern astronaut elderly actionadventurethriller clinteastwood clinteastwood tommyleejones donaldsutherland jamesgarner
Ninja Assassin,2009,Action Thriller,English,James McTeigue,6.28,assassination assassin ninjafighter revenge ninja ninjutsu actionthriller jamesmcteigue rain naomieharris sungkang randalldukkim
It Boy,2013,Comedy,French,David Moreau,6.28,Not Available comedy davidmoreau virginieefira pierreniney gillescohen amélieglenn
A Field in England,2013,Drama History Horror Thriller,English,Ben Wheatley,6.28,madness ghost englishcivilwar 17thcentury dramahistoryhorrorthriller benwheatley julianbarratt peterferdinando richardglover ryanpope
A Cinderella Story: Once Upon a Song,2011,Comedy Family Romance,English,Damon Santostefano,6.28,music highschool aspiringsinger orphan teenager teenageromance modernfairytale comedyfamilyromance damonsantostefano lucyhale freddiestroma missipyle meganpark
A Perfect Getaway,2009,Thriller Mystery Adventure,English,David Twohy,6.28,hawaii honeymoon doublemurder murder thrillermysteryadventure davidtwohy millajovovich timothyolyphant stevezahn chrishemsworth
RRRrrrr!!!,2004,Comedy,French,Alain Chabat,6.28,Not Available comedy alainchabat mauricebarthélemy marinafoïs eliselarnicol pierrefrançoismartinlaval
Cinderella III: A Twist in Time,2007,Animation Romance Family Fantasy,English,Frank Nissen,6.28,magic fairy prince musical sequel fairygodmother animationromancefamilyfantasy franknissen jenniferhale christopherdanielbarnes susanneblakeslee tressmacneille
Gantz,2011,Horror Action Science Fiction,Japanese,Shinsuke Sato,6.28,alien basedonmanga horroractionsciencefiction shinsukesato kazunarininomiya kenichimatsuyama yurikoyoshitaka natsunawatanabe
