Title,Year,Genres,Language,Director,Score,soup
Sunset Blvd,1950,Drama,English,Billy Wilder,8.28,"""newyearseve"" screenwriter jealousy butler lossofsenseofreality diva delusion noir breakingthefourthwall hollywood losangeles california madness agingactor hasbeen silentfilmstar grandiosebehavior keptman moviestudio drama billywilder williamholden gloriaswanson erichvonstroheim nancyolson"
Call Me by Your Name,2017,Romance Drama,English,Luca Guadagnino,8.28,italy upperclass basedonnovelorbook swimmingpool love comingofage summer teenageboy masturbation firstlove lgbt jewishfamily 1980s peach gay romancedrama lucaguadagnino armiehammer timothéechalamet michaelstuhlbarg amiracasar
Dead Poets Society,1989,Drama,English,Peter Weir,8.28,"individual philosophy poetry professor literature friendship teacher schoolplay vermont schoolteacher preparatoryschool ""amidsummernightsdream"" 1950s drama peterweir robinwilliams ethanhawke robertseanleonard galehansen"
The Pianist,2002,Drama War,English,Roman Polanski,8.27,resistance holocaust(shoah) hunger worldwarii prisonerofwar homeland ghetto deportation hidingplace jewpersecution liberation warsawghetto polishresistance nazi biography concert survival basedonmemoirorautobiography pianist poland dramawar romanpolanski adrienbrody thomaskretschmann frankfinlay maureenlipman
Apocalypse Now,1979,Drama War,English,Francis Ford Coppola,8.27,cia drugabuse journalist basedonnovelorbook guerrilla vietnam vietcong cambodia secretmission army insanity surrealism tribe mission greenberet jungle descentintomadness brutality riverboat dramawar francisfordcoppola marlonbrando robertduvall martinsheen fredericforrest
Rear Window,1954,Drama Mystery Thriller,English,Alfred Hitchcock,8.25,nurse photographer suspicionofmurder girlfriend neighbor salesman apartment convalescence voyeurism missingwife homebound suspiciousbehavior flowerbed visitingnurse dramamysterythriller alfredhitchcock jamesstewart gracekelly thelmaritter wendellcorey
Once Upon a Time in the West,1968,Western,Italian,Sergio Leone,8.23,lossoflovedone showdown bounty bountyhunter sadness blackmail harmonica antihero auction dyinganddeath peasant insanity spaghettiwestern western sergioleone claudiacardinale henryfonda jasonrobards charlesbronson
Modern Times,1936,Drama Comedy,English,Charlie Chaplin,8.22,factory ambulance invention tramp greatdepression industrialrevolution slapstick machine pardon guilty dramacomedy charliechaplin charliechaplin paulettegoddard henrybergman tinysandford
Mommy,2014,Drama,French,Xavier Dolan,8.21,parentchildrelationship canada quebec dysfunctionalfamily singlemother institutionalization oedipuscomplex behavioraldisorders drama xavierdolan annedorval suzanneclément antoineolivierpilon patrickhuard
The Handmaiden,2016,Thriller Drama Romance,Korean,Park Chan-wook,8.21,conman pickpocket lesbianrelationship plot lust asianlgbt conwoman japaneseoccupationofkorea korean thrillerdramaromance parkchanwook kimminhee kimtaeri hajungwoo chojinwoong
A Silent Voice,2016,Drama Animation Romance,Japanese,Naoko Yamada,8.2,friendship highschool bullying comingofage basedonmanga deaf womandirector signlanguages anime dramaanimationromance naokoyamada saorihayami miyuirino aoiyuki kenshoono
